name,status,signature,read_error
2019-11-19_21-19-00__GiqzZLRn7Kve3iC8V8tiDXgEBc5LxsyNiRPcMuup.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-11-20_18-53-17__O0xF4kOBcqRl9zOApO8N5dQOxoYlULLdfloUu7qy.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-11-22_08-25-36__Klhttki7aUGNjZR1ZWVpvjp7TPW95efIAYCILbUe.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-11-24_15-05-56__Ig1ZQC757BdIeG04Zqi8tsHozvnD2WqWikSvjaeU.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-11-25_22-39-34__H2tXToDD73r4BnX1daz1YQ2PrIaebH4YtcHJH6yU.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-11-26_20-37-55__OnveEfVCGhHU0Kr5xZEf1lfp3p3vuADtn2TsiJ3x.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-11-28_07-51-58__xOno9an2WmxfwZuXDPi8xGcExujFWVmRRhXSt3q1.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-11-29_07-53-35__mCNC3XbD9JRCUA62j56YgMXy2h1N65bbimkZhM8d.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-11-29_22-42-08__VzfXSvVK8mEC7VBSkKToaLjTVvgquTlBXivNg0Am.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-11-30_18-30-52__K0za2HVUUWUsxT50DA73WKsn378Uld8ViKRIaEOo.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-12-02_20-32-31__YhB2OVklxTl28fDWbaZmQJqczQSNVFH2SFr1Hghp.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-12-03_19-25-10__XiYu5hhwIZZtVexQKzdgCgAhJsaZSCwjpkx2uu0F.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
